😀	grinning face	1f600
🧑🏾‍🌾	farmer: medium-dark skin tone	1f9d1-1f3fe-200d-1f33e
🧑🏿‍🌾	farmer: dark skin tone	1f9d1-1f3ff-200d-1f33e
👨‍🌾	man farmer	1f468-200d-1f33e
👨🏻‍🌾	man farmer: light skin tone	1f468-1f3fb-200d-1f33e
👨🏼‍🌾	man farmer: medium-light skin tone	1f468-1f3fc-200d-1f33e
👨🏽‍🌾	man farmer: medium skin tone	1f468-1f3fd-200d-1f33e
👨🏾‍🌾	man farmer: medium-dark skin tone	1f468-1f3fe-200d-1f33e
👨🏿‍🌾	man farmer: dark skin tone	1f468-1f3ff-200d-1f33e
👩‍🌾	woman farmer	1f469-200d-1f33e
👩🏻‍🌾	woman farmer: light skin tone	1f469-1f3fb-200d-1f33e
👩🏼‍🌾	woman farmer: medium-light skin tone	1f469-1f3fc-200d-1f33e
👩🏽‍🌾	woman farmer: medium skin tone	1f469-1f3fd-200d-1f33e
👩🏾‍🌾	woman farmer: medium-dark skin tone	1f469-1f3fe-200d-1f33e
👩🏿‍🌾	woman farmer: dark skin tone	1f469-1f3ff-200d-1f33e
🧑‍🍳	cook	1f9d1-200d-1f373
🧑🏻‍🍳	cook: light skin tone	1f9d1-1f3fb-200d-1f373
🧑🏼‍🍳	cook: medium-light skin tone	1f9d1-1f3fc-200d-1f373
🧑🏽‍🍳	cook: medium skin tone	1f9d1-1f3fd-200d-1f373
🧑🏾‍🍳	cook: medium-dark skin tone	1f9d1-1f3fe-200d-1f373
🧑🏿‍🍳	cook: dark skin tone	1f9d1-1f3ff-200d-1f373
👨‍🍳	man cook	1f468-200d-1f373
👨🏻‍🍳	man cook: light skin tone	1f468-1f3fb-200d-1f373
👨🏼‍🍳	man cook: medium-light skin tone	1f468-1f3fc-200d-1f373
👨🏽‍🍳	man cook: medium skin tone	1f468-1f3fd-200d-1f373
👨🏾‍🍳	man cook: medium-dark skin tone	1f468-1f3fe-200d-1f373
👨🏿‍🍳	man cook: dark skin tone	1f468-1f3ff-200d-1f373
👩‍🍳	woman cook	1f469-200d-1f373
👩🏻‍🍳	woman cook: light skin tone	1f469-1f3fb-200d-1f373
👩🏼‍🍳	woman cook: medium-light skin tone	1f469-1f3fc-200d-1f373
👩🏽‍🍳	woman cook: medium skin tone	1f469-1f3fd-200d-1f373
👩🏾‍🍳	woman cook: medium-dark skin tone	1f469-1f3fe-200d-1f373
👩🏿‍🍳	woman cook: dark skin tone	1f469-1f3ff-200d-1f373
🧑‍🔧	mechanic	1f9d1-200d-1f527
🧑🏻‍🔧	mechanic: light skin tone	1f9d1-1f3fb-200d-1f527
🧑🏼‍🔧	mechanic: medium-light skin tone	1f9d1-1f3fc-200d-1f527
🧑🏽‍🔧	mechanic: medium skin tone	1f9d1-1f3fd-200d-1f527
🧑🏾‍🔧	mechanic: medium-dark skin tone	1f9d1-1f3fe-200d-1f527
🧑🏿‍🔧	mechanic: dark skin tone	1f9d1-1f3ff-200d-1f527
👨‍🔧	man mechanic	1f468-200d-1f527
👨🏻‍🔧	man mechanic: light skin tone	1f468-1f3fb-200d-1f527
👨🏼‍🔧	man mechanic: medium-light skin tone	1f468-1f3fc-200d-1f527
👨🏽‍🔧	man mechanic: medium skin tone	1f468-1f3fd-200d-1f527
👨🏾‍🔧	man mechanic: medium-dark skin tone	1f468-1f3fe-200d-1f527
👨🏿‍🔧	man mechanic: dark skin tone	1f468-1f3ff-200d-1f527
👩‍🔧	woman mechanic	1f469-200d-1f527
👩🏻‍🔧	woman mechanic: light skin tone	1f469-1f3fb-200d-1f527
👩🏼‍🔧	woman mechanic: medium-light skin tone	1f469-1f3fc-200d-1f527
👩🏽‍🔧	woman mechanic: medium skin tone	1f469-1f3fd-200d-1f527
👩🏾‍🔧	woman mechanic: medium-dark skin tone	1f469-1f3fe-200d-1f527
👩🏿‍🔧	woman mechanic: dark skin tone	1f469-1f3ff-200d-1f527
🧑‍🏭	factory worker	1f9d1-200d-1f3ed
🧑🏻‍🏭	factory worker: light skin tone	1f9d1-1f3fb-200d-1f3ed
🧑🏼‍🏭	factory worker: medium-light skin tone	1f9d1-1f3fc-200d-1f3ed
🧑🏽‍🏭	factory worker: medium skin tone	1f9d1-1f3fd-200d-1f3ed
🧑🏾‍🏭	factory worker: medium-dark skin tone	1f9d1-1f3fe-200d-1f3ed
🧑🏿‍🏭	factory worker: dark skin tone	1f9d1-1f3ff-200d-1f3ed
👨‍🏭	man factory worker	1f468-200d-1f3ed
👨🏻‍🏭	man factory worker: light skin tone	1f468-1f3fb-200d-1f3ed
👨🏼‍🏭	man factory worker: medium-light skin tone	1f468-1f3fc-200d-1f3ed
👨🏽‍🏭	man factory worker: medium skin tone	1f468-1f3fd-200d-1f3ed
👨🏾‍🏭	man factory worker: medium-dark skin tone	1f468-1f3fe-200d-1f3ed
👨🏿‍🏭	man factory worker: dark skin tone	1f468-1f3ff-200d-1f3ed
👩‍🏭	woman factory worker	1f469-200d-1f3ed
👩🏻‍🏭	woman factory worker: light skin tone	1f469-1f3fb-200d-1f3ed
👩🏼‍🏭	woman factory worker: medium-light skin tone	1f469-1f3fc-200d-1f3ed
👩🏽‍🏭	woman factory worker: medium skin tone	1f469-1f3fd-200d-1f3ed
👩🏾‍🏭	woman factory worker: medium-dark skin tone	1f469-1f3fe-200d-1f3ed
👩🏿‍🏭	woman factory worker: dark skin tone	1f469-1f3ff-200d-1f3ed
🧑‍💼	office worker	1f9d1-200d-1f4bc
🧑🏻‍💼	office worker: light skin tone	1f9d1-1f3fb-200d-1f4bc
🧑🏼‍💼	office worker: medium-light skin tone	1f9d1-1f3fc-200d-1f4bc
🧑🏽‍💼	office worker: medium skin tone	1f9d1-1f3fd-200d-1f4bc
🧑🏾‍💼	office worker: medium-dark skin tone	1f9d1-1f3fe-200d-1f4bc
🧑🏿‍💼	office worker: dark skin tone	1f9d1-1f3ff-200d-1f4bc
👨‍💼	man office worker	1f468-200d-1f4bc
👨🏻‍💼	man office worker: light skin tone	1f468-1f3fb-200d-1f4bc
👨🏼‍💼	man office worker: medium-light skin tone	1f468-1f3fc-200d-1f4bc
👨🏽‍💼	man office worker: medium skin tone	1f468-1f3fd-200d-1f4bc
👨🏾‍💼	man office worker: medium-dark skin tone	1f468-1f3fe-200d-1f4bc
👨🏿‍💼	man office worker: dark skin tone	1f468-1f3ff-200d-1f4bc
👩‍💼	woman office worker	1f469-200d-1f4bc
👩🏻‍💼	woman office worker: light skin tone	1f469-1f3fb-200d-1f4bc
👩🏼‍💼	woman office worker: medium-light skin tone	1f469-1f3fc-200d-1f4bc
👩🏽‍💼	woman office worker: medium skin tone	1f469-1f3fd-200d-1f4bc
👩🏾‍💼	woman office worker: medium-dark skin tone	1f469-1f3fe-200d-1f4bc
👩🏿‍💼	woman office worker: dark skin tone	1f469-1f3ff-200d-1f4bc
🧑‍🔬	scientist	1f9d1-200d-1f52c
🧑🏻‍🔬	scientist: light skin tone	1f9d1-1f3fb-200d-1f52c
🧑🏼‍🔬	scientist: medium-light skin tone	1f9d1-1f3fc-200d-1f52c
🧑🏽‍🔬	scientist: medium skin tone	1f9d1-1f3fd-200d-1f52c
🧑🏾‍🔬	scientist: medium-dark skin tone	1f9d1-1f3fe-200d-1f52c
🧑🏿‍🔬	scientist: dark skin tone	1f9d1-1f3ff-200d-1f52c
👨‍🔬	man scientist	1f468-200d-1f52c
👨🏻‍🔬	man scientist: light skin tone	1f468-1f3fb-200d-1f52c
👨🏼‍🔬	man scientist: medium-light skin tone	1f468-1f3fc-200d-1f52c
👨🏽‍🔬	man scientist: medium skin tone	1f468-1f3fd-200d-1f52c
👨🏾‍🔬	man scientist: medium-dark skin tone	1f468-1f3fe-200d-1f52c
👨🏿‍🔬	man scientist: dark skin tone	1f468-1f3ff-200d-1f52c
👩‍🔬	woman scientist	1f469-200d-1f52c
👩🏻‍🔬	woman scientist: light skin tone	1f469-1f3fb-200d-1f52c
👩🏼‍🔬	woman scientist: medium-light skin tone	1f469-1f3fc-200d-1f52c
👩🏽‍🔬	woman scientist: medium skin tone	1f469-1f3fd-200d-1f52c
👩🏾‍🔬	woman scientist: medium-dark skin tone	1f469-1f3fe-200d-1f52c
👩🏿‍🔬	woman scientist: dark skin tone	1f469-1f3ff-200d-1f52c
🧑‍💻	technologist	1f9d1-200d-1f4bb
🧑🏻‍💻	technologist: light skin tone	1f9d1-1f3fb-200d-1f4bb
🧑🏼‍💻	technologist: medium-light skin tone	1f9d1-1f3fc-200d-1f4bb
🧑🏽‍💻	technologist: medium skin tone	1f9d1-1f3fd-200d-1f4bb
🧑🏾‍💻	technologist: medium-dark skin tone	1f9d1-1f3fe-200d-1f4bb
🧑🏿‍💻	technologist: dark skin tone	1f9d1-1f3ff-200d-1f4bb
👨‍💻	man technologist	1f468-200d-1f4bb
👨🏻‍💻	man technologist: light skin tone	1f468-1f3fb-200d-1f4bb
👨🏼‍💻	man technologist: medium-light skin tone	1f468-1f3fc-200d-1f4bb
👨🏽‍💻	man technologist: medium skin tone	1f468-1f3fd-200d-1f4bb
👨🏾‍💻	man technologist: medium-dark skin tone	1f468-1f3fe-200d-1f4bb
👨🏿‍💻	man technologist: dark skin tone	1f468-1f3ff-200d-1f4bb
👩‍💻	woman technologist	1f469-200d-1f4bb
👩🏻‍💻	woman technologist: light skin tone	1f469-1f3fb-200d-1f4bb
👩🏼‍💻	woman technologist: medium-light skin tone	1f469-1f3fc-200d-1f4bb
👩🏽‍💻	woman technologist: medium skin tone	1f469-1f3fd-200d-1f4bb
👩🏾‍💻	woman technologist: medium-dark skin tone	1f469-1f3fe-200d-1f4bb
👩🏿‍💻	woman technologist: dark skin tone	1f469-1f3ff-200d-1f4bb
🧑‍🎤	singer	1f9d1-200d-1f3a4
🧑🏻‍🎤	singer: light skin tone	1f9d1-1f3fb-200d-1f3a4
🧑🏼‍🎤	singer: medium-light skin tone	1f9d1-1f3fc-200d-1f3a4
🧑🏽‍🎤	singer: medium skin tone	1f9d1-1f3fd-200d-1f3a4
🧑🏾‍🎤	singer: medium-dark skin tone	1f9d1-1f3fe-200d-1f3a4
🧑🏿‍🎤	singer: dark skin tone	1f9d1-1f3ff-200d-1f3a4
👨‍🎤	man singer	1f468-200d-1f3a4
👨🏻‍🎤	man singer: light skin tone	1f468-1f3fb-200d-1f3a4
👨🏼‍🎤	man singer: medium-light skin tone	1f468-1f3fc-200d-1f3a4
👨🏽‍🎤	man singer: medium skin tone	1f468-1f3fd-200d-1f3a4
👨🏾‍🎤	man singer: medium-dark skin tone	1f468-1f3fe-200d-1f3a4
👨🏿‍🎤	man singer: dark skin tone	1f468-1f3ff-200d-1f3a4
👩‍🎤	woman singer	1f469-200d-1f3a4
👩🏻‍🎤	woman singer: light skin tone	1f469-1f3fb-200d-1f3a4
👩🏼‍🎤	woman singer: medium-light skin tone	1f469-1f3fc-200d-1f3a4
👩🏽‍🎤	woman singer: medium skin tone	1f469-1f3fd-200d-1f3a4
👩🏾‍🎤	woman singer: medium-dark skin tone	1f469-1f3fe-200d-1f3a4
👩🏿‍🎤	woman singer: dark skin tone	1f469-1f3ff-200d-1f3a4
🧑‍🎨	artist	1f9d1-200d-1f3a8
🧑🏻‍🎨	artist: light skin tone	1f9d1-1f3fb-200d-1f3a8
🧑🏼‍🎨	artist: medium-light skin tone	1f9d1-1f3fc-200d-1f3a8
🧑🏽‍🎨	artist: medium skin tone	1f9d1-1f3fd-200d-1f3a8
🧑🏾‍🎨	artist: medium-dark skin tone	1f9d1-1f3fe-200d-1f3a8
🧑🏿‍🎨	artist: dark skin tone	1f9d1-1f3ff-200d-1f3a8
👨‍🎨	man artist	1f468-200d-1f3a8
👨🏻‍🎨	man artist: light skin tone	1f468-1f3fb-200d-1f3a8
👨🏼‍🎨	man artist: medium-light skin tone	1f468-1f3fc-200d-1f3a8
👨🏽‍🎨	man artist: medium skin tone	1f468-1f3fd-200d-1f3a8
👨🏾‍🎨	man artist: medium-dark skin tone	1f468-1f3fe-200d-1f3a8
👨🏿‍🎨	man artist: dark skin tone	1f468-1f3ff-200d-1f3a8
👩‍🎨	woman artist	1f469-200d-1f3a8
👩🏻‍🎨	woman artist: light skin tone	1f469-1f3fb-200d-1f3a8
👩🏼‍🎨	woman artist: medium-light skin tone	1f469-1f3fc-200d-1f3a8
👩🏽‍🎨	woman artist: medium skin tone	1f469-1f3fd-200d-1f3a8
👩🏾‍🎨	woman artist: medium-dark skin tone	1f469-1f3fe-200d-1f3a8
👩🏿‍🎨	woman artist: dark skin tone	1f469-1f3ff-200d-1f3a8
🧑‍✈️	pilot	1f9d1-200d-2708-fe0f
🧑🏻‍✈️	pilot: light skin tone	1f9d1-1f3fb-200d-2708-fe0f
🧑🏼‍✈️	pilot: medium-light skin tone	1f9d1-1f3fc-200d-2708-fe0f
🧑🏽‍✈️	pilot: medium skin tone	1f9d1-1f3fd-200d-2708-fe0f
🧑🏾‍✈️	pilot: medium-dark skin tone	1f9d1-1f3fe-200d-2708-fe0f
🧑🏿‍✈️	pilot: dark skin tone	1f9d1-1f3ff-200d-2708-fe0f
👨‍✈️	man pilot	1f468-200d-2708-fe0f
👨🏻‍✈️	man pilot: light skin tone	1f468-1f3fb-200d-2708-fe0f
👨🏼‍✈️	man pilot: medium-light skin tone	1f468-1f3fc-200d-2708-fe0f
👨🏽‍✈️	man pilot: medium skin tone	1f468-1f3fd-200d-2708-fe0f
👨🏾‍✈️	man pilot: medium-dark skin tone	1f468-1f3fe-200d-2708-fe0f
👨🏿‍✈️	man pilot: dark skin tone	1f468-1f3ff-200d-2708-fe0f
👩‍✈️	woman pilot	1f469-200d-2708-fe0f
👩🏻‍✈️	woman pilot: light skin tone	1f469-1f3fb-200d-2708-fe0f
👩🏼‍✈️	woman pilot: medium-light skin tone	1f469-1f3fc-200d-2708-fe0f
👩🏽‍✈️	woman pilot: medium skin tone	1f469-1f3fd-200d-2708-fe0f
👩🏾‍✈️	woman pilot: medium-dark skin tone	1f469-1f3fe-200d-2708-fe0f
👩🏿‍✈️	woman pilot: dark skin tone	1f469-1f3ff-200d-2708-fe0f
🧑‍🚀	astronaut	1f9d1-200d-1f680
🧑🏻‍🚀	astronaut: light skin tone	1f9d1-1f3fb-200d-1f680
🧑🏼‍🚀	astronaut: medium-light skin tone	1f9d1-1f3fc-200d-1f680
🧑🏽‍🚀	astronaut: medium skin tone	1f9d1-1f3fd-200d-1f680
🧑🏾‍🚀	astronaut: medium-dark skin tone	1f9d1-1f3fe-200d-1f680
🧑🏿‍🚀	astronaut: dark skin tone	1f9d1-1f3ff-200d-1f680
👨‍🚀	man astronaut	1f468-200d-1f680
👨🏻‍🚀	man astronaut: light skin tone	1f468-1f3fb-200d-1f680
👨🏼‍🚀	man astronaut: medium-light skin tone	1f468-1f3fc-200d-1f680
👨🏽‍🚀	man astronaut: medium skin tone	1f468-1f3fd-200d-1f680
👨🏾‍🚀	man astronaut: medium-dark skin tone	1f468-1f3fe-200d-1f680
👨🏿‍🚀	man astronaut: dark skin tone	1f468-1f3ff-200d-1f680
👩‍🚀	woman astronaut	1f469-200d-1f680
👩🏻‍🚀	woman astronaut: light skin tone	1f469-1f3fb-200d-1f680
👩🏼‍🚀	woman astronaut: medium-light skin tone	1f469-1f3fc-200d-1f680
👩🏽‍🚀	woman astronaut: medium skin tone	1f469-1f3fd-200d-1f680
👩🏾‍🚀	woman astronaut: medium-dark skin tone	1f469-1f3fe-200d-1f680
👩🏿‍🚀	woman astronaut: dark skin tone	1f469-1f3ff-200d-1f680
🧑‍🚒	firefighter	1f9d1-200d-1f692
🧑🏻‍🚒	firefighter: light skin tone	1f9d1-1f3fb-200d-1f692
🧑🏼‍🚒	firefighter: medium-light skin tone	1f9d1-1f3fc-200d-1f692
🧑🏽‍🚒	firefighter: medium skin tone	1f9d1-1f3fd-200d-1f692
🧑🏾‍🚒	firefighter: medium-dark skin tone	1f9d1-1f3fe-200d-1f692
🧑🏿‍🚒	firefighter: dark skin tone	1f9d1-1f3ff-200d-1f692
👨‍🚒	man firefighter	1f468-200d-1f692
👨🏻‍🚒	man firefighter: light skin tone	1f468-1f3fb-200d-1f692
👨🏼‍🚒	man firefighter: medium-light skin tone	1f468-1f3fc-200d-1f692
👨🏽‍🚒	man firefighter: medium skin tone	1f468-1f3fd-200d-1f692
👨🏾‍🚒	man firefighter: medium-dark skin tone	1f468-1f3fe-200d-1f692
👨🏿‍🚒	man firefighter: dark skin tone	1f468-1f3ff-200d-1f692
👩‍🚒	woman firefighter	1f469-200d-1f692
👩🏻‍🚒	woman firefighter: light skin tone	1f469-1f3fb-200d-1f692
👩🏼‍🚒	woman firefighter: medium-light skin tone	1f469-1f3fc-200d-1f692
👩🏽‍🚒	woman firefighter: medium skin tone	1f469-1f3fd-200d-1f692
👩🏾‍🚒	woman firefighter: medium-dark skin tone	1f469-1f3fe-200d-1f692
👩🏿‍🚒	woman firefighter: dark skin tone	1f469-1f3ff-200d-1f692
👮	police officer	1f46e
👮🏻	police officer: light skin tone	1f46e-1f3fb
👮🏼	police officer: medium-light skin tone	1f46e-1f3fc
👮🏽	police officer: medium skin tone	1f46e-1f3fd
👮🏾	police officer: medium-dark skin tone	1f46e-1f3fe
👮🏿	police officer: dark skin tone	1f46e-1f3ff
👮‍♂️	man police officer	1f46e-200d-2642-fe0f
👮🏻‍♂️	man police officer: light skin tone	1f46e-1f3fb-200d-2642-fe0f
👮🏼‍♂️	man police officer: medium-light skin tone	1f46e-1f3fc-200d-2642-fe0f
👮🏽‍♂️	man police officer: medium skin tone	1f46e-1f3fd-200d-2642-fe0f
👮🏾‍♂️	man police officer: medium-dark skin tone	1f46e-1f3fe-200d-2642-fe0f
👮🏿‍♂️	man police officer: dark skin tone	1f46e-1f3ff-200d-2642-fe0f
👮‍♀️	woman police officer	1f46e-200d-2640-fe0f
👮🏻‍♀️	woman police officer: light skin tone	1f46e-1f3fb-200d-2640-fe0f
👮🏼‍♀️	woman police officer: medium-light skin tone	1f46e-1f3fc-200d-2640-fe0f
👮🏽‍♀️	woman police officer: medium skin tone	1f46e-1f3fd-200d-2640-fe0f
👮🏾‍♀️	woman police officer: medium-dark skin tone	1f46e-1f3fe-200d-2640-fe0f
👮🏿‍♀️	woman police officer: dark skin tone	1f46e-1f3ff-200d-2640-fe0f
🕵️	detective	1f575-fe0f
🕵🏻	detective: light skin tone	1f575-1f3fb
🕵🏼	detective: medium-light skin tone	1f575-1f3fc
🕵🏽	detective: medium skin tone	1f575-1f3fd
🕵🏾	detective: medium-dark skin tone	1f575-1f3fe
🕵🏿	detective: dark skin tone	1f575-1f3ff
🕵️‍♂️	man detective	1f575-fe0f-200d-2642-fe0f
🕵🏻‍♂️	man detective: light skin tone	1f575-1f3fb-200d-2642-fe0f
🕵🏼‍♂️	man detective: medium-light skin tone	1f575-1f3fc-200d-2642-fe0f
🕵🏽‍♂️	man detective: medium skin tone	1f575-1f3fd-200d-2642-fe0f
🕵🏾‍♂️	man detective: medium-dark skin tone	1f575-1f3fe-200d-2642-fe0f
🕵🏿‍♂️	man detective: dark skin tone	1f575-1f3ff-200d-2642-fe0f
🕵️‍♀️	woman detective	1f575-fe0f-200d-2640-fe0f
🕵🏻‍♀️	woman detective: light skin tone	1f575-1f3fb-200d-2640-fe0f
🕵🏼‍♀️	woman detective: medium-light skin tone	1f575-1f3fc-200d-2640-fe0f
🕵🏽‍♀️	woman detective: medium skin tone	1f575-1f3fd-200d-2640-fe0f
🕵🏾‍♀️	woman detective: medium-dark skin tone	1f575-1f3fe-200d-2640-fe0f
🕵🏿‍♀️	woman detective: dark skin tone	1f575-1f3ff-200d-2640-fe0f
💂	guard	1f482
💂🏻	guard: light skin tone	1f482-1f3fb
💂🏼	guard: medium-light skin tone	1f482-1f3fc
💂🏽	guard: medium skin tone	1f482-1f3fd
💂🏾	guard: medium-dark skin tone	1f482-1f3fe
💂🏿	guard: dark skin tone	1f482-1f3ff
💂‍♂️	man guard	1f482-200d-2642-fe0f
💂🏻‍♂️	man guard: light skin tone	1f482-1f3fb-200d-2642-fe0f
💂🏼‍♂️	man guard: medium-light skin tone	1f482-1f3fc-200d-2642-fe0f
💂🏽‍♂️	man guard: medium skin tone	1f482-1f3fd-200d-2642-fe0f
💂🏾‍♂️	man guard: medium-dark skin tone	1f482-1f3fe-200d-2642-fe0f
💂🏿‍♂️	man guard: dark skin tone	1f482-1f3ff-200d-2642-fe0f
💂‍♀️	woman guard	1f482-200d-2640-fe0f
💂🏻‍♀️	woman guard: light skin tone	1f482-1f3fb-200d-2640-fe0f
💂🏼‍♀️	woman guard: medium-light skin tone	1f482-1f3fc-200d-2640-fe0f
💂🏽‍♀️	woman guard: medium skin tone	1f482-1f3fd-200d-2640-fe0f
💂🏾‍♀️	woman guard: medium-dark skin tone	1f482-1f3fe-200d-2640-fe0f
💂🏿‍♀️	woman guard: dark skin tone	1f482-1f3ff-200d-2640-fe0f
🥷	ninja	1f977
🥷🏻	ninja: light skin tone	1f977-1f3fb
🥷🏼	ninja: medium-light skin tone	1f977-1f3fc
🥷🏽	ninja: medium skin tone	1f977-1f3fd
🥷🏾	ninja: medium-dark skin tone	1f977-1f3fe
🥷🏿	ninja: dark skin tone	1f977-1f3ff
👷	construction worker	1f477
👷🏻	construction worker: light skin tone	1f477-1f3fb
👷🏼	construction worker: medium-light skin tone	1f477-1f3fc
👷🏽	construction worker: medium skin tone	1f477-1f3fd
👷🏾	construction worker: medium-dark skin tone	1f477-1f3fe
👷🏿	construction worker: dark skin tone	1f477-1f3ff
👷‍♂️	man construction worker	1f477-200d-2642-fe0f
👷🏻‍♂️	man construction worker: light skin tone	1f477-1f3fb-200d-2642-fe0f
👷🏼‍♂️	man construction worker: medium-light skin tone	1f477-1f3fc-200d-2642-fe0f
👷🏽‍♂️	man construction worker: medium skin tone	1f477-1f3fd-200d-2642-fe0f
👷🏾‍♂️	man construction worker: medium-dark skin tone	1f477-1f3fe-200d-2642-fe0f
👷🏿‍♂️	man construction worker: dark skin tone	1f477-1f3ff-200d-2642-fe0f
👷‍♀️	woman construction worker	1f477-200d-2640-fe0f
👷🏻‍♀️	woman construction worker: light skin tone	1f477-1f3fb-200d-2640-fe0f
👷🏼‍♀️	woman construction worker: medium-light skin tone	1f477-1f3fc-200d-2640-fe0f
👷🏽‍♀️	woman construction worker: medium skin tone	1f477-1f3fd-200d-2640-fe0f
👷🏾‍♀️	woman construction worker: medium-dark skin tone	1f477-1f3fe-200d-2640-fe0f
👷🏿‍♀️	woman construction worker: dark skin tone	1f477-1f3ff-200d-2640-fe0f
🫅	person with crown	1fac5
🫅🏻	person with crown: light skin tone	1fac5-1f3fb
🫅🏼	person with crown: medium-light skin tone	1fac5-1f3fc
🫅🏽	person with crown: medium skin tone	1fac5-1f3fd
🫅🏾	person with crown: medium-dark skin tone	1fac5-1f3fe
🫅🏿	person with crown: dark skin tone	1fac5-1f3ff
🤴	prince	1f934
🤴🏻	prince: light skin tone	1f934-1f3fb
🤴🏼	prince: medium-light skin tone	1f934-1f3fc
🤴🏽	prince: medium skin tone	1f934-1f3fd
🤴🏾	prince: medium-dark skin tone	1f934-1f3fe
🤴🏿	prince: dark skin tone	1f934-1f3ff
👸	princess	1f478
👸🏻	princess: light skin tone	1f478-1f3fb
👸🏼	princess: medium-light skin tone	1f478-1f3fc
👸🏽	princess: medium skin tone	1f478-1f3fd
👸🏾	princess: medium-dark skin tone	1f478-1f3fe
👸🏿	princess: dark skin tone	1f478-1f3ff
👳	person wearing turban	1f473
👳🏻	person wearing turban: light skin tone	1f473-1f3fb
👳🏼	person wearing turban: medium-light skin tone	1f473-1f3fc
👳🏽	person wearing turban: medium skin tone	1f473-1f3fd
👳🏾	person wearing turban: medium-dark skin tone	1f473-1f3fe
👳🏿	person wearing turban: dark skin tone	1f473-1f3ff
👳‍♂️	man wearing turban	1f473-200d-2642-fe0f
👳🏻‍♂️	man wearing turban: light skin tone	1f473-1f3fb-200d-2642-fe0f
👳🏼‍♂️	man wearing turban: medium-light skin tone	1f473-1f3fc-200d-2642-fe0f
👳🏽‍♂️	man wearing turban: medium skin tone	1f473-1f3fd-200d-2642-fe0f
👳🏾‍♂️	man wearing turban: medium-dark skin tone	1f473-1f3fe-200d-2642-fe0f
👳🏿‍♂️	man wearing turban: dark skin tone	1f473-1f3ff-200d-2642-fe0f
👳‍♀️	woman wearing turban	1f473-200d-2640-fe0f
👳🏻‍♀️	woman wearing turban: light skin tone	1f473-1f3fb-200d-2640-fe0f
👳🏼‍♀️	woman wearing turban: medium-light skin tone	1f473-1f3fc-200d-2640-fe0f
👳🏽‍♀️	woman wearing turban: medium skin tone	1f473-1f3fd-200d-2640-fe0f
👳🏾‍♀️	woman wearing turban: medium-dark skin tone	1f473-1f3fe-200d-2640-fe0f
👳🏿‍♀️	woman wearing turban: dark skin tone	1f473-1f3ff-200d-2640-fe0f
👲	person with skullcap	1f472
👲🏻	person with skullcap: light skin tone	1f472-1f3fb
👲🏼	person with skullcap: medium-light skin tone	1f472-1f3fc
👲🏽	person with skullcap: medium skin tone	1f472-1f3fd
👲🏾	person with skullcap: medium-dark skin tone	1f472-1f3fe
👲🏿	person with skullcap: dark skin tone	1f472-1f3ff
🧕	woman with headscarf	1f9d5
🧕🏻	woman with headscarf: light skin tone	1f9d5-1f3fb
🧕🏼	woman with headscarf: medium-light skin tone	1f9d5-1f3fc
🧕🏽	woman with headscarf: medium skin tone	1f9d5-1f3fd
🧕🏾	woman with headscarf: medium-dark skin tone	1f9d5-1f3fe
🧕🏿	woman with headscarf: dark skin tone	1f9d5-1f3ff
🤵	person in tuxedo	1f935
🤵🏻	person in tuxedo: light skin tone	1f935-1f3fb
🤵🏼	person in tuxedo: medium-light skin tone	1f935-1f3fc
🤵🏽	person in tuxedo: medium skin tone	1f935-1f3fd
🤵🏾	person in tuxedo: medium-dark skin tone	1f935-1f3fe
🤵🏿	person in tuxedo: dark skin tone	1f935-1f3ff
🤵‍♂️	man in tuxedo	1f935-200d-2642-fe0f
🤵🏻‍♂️	man in tuxedo: light skin tone	1f935-1f3fb-200d-2642-fe0f
🤵🏼‍♂️	man in tuxedo: medium-light skin tone	1f935-1f3fc-200d-2642-fe0f
🤵🏽‍♂️	man in tuxedo: medium skin tone	1f935-1f3fd-200d-2642-fe0f
🤵🏾‍♂️	man in tuxedo: medium-dark skin tone	1f935-1f3fe-200d-2642-fe0f
🤵🏿‍♂️	man in tuxedo: dark skin tone	1f935-1f3ff-200d-2642-fe0f
🤵‍♀️	woman in tuxedo	1f935-200d-2640-fe0f
🤵🏻‍♀️	woman in tuxedo: light skin tone	1f935-1f3fb-200d-2640-fe0f
🤵🏼‍♀️	woman in tuxedo: medium-light skin tone	1f935-1f3fc-200d-2640-fe0f
🤵🏽‍♀️	woman in tuxedo: medium skin tone	1f935-1f3fd-200d-2640-fe0f
🤵🏾‍♀️	woman in tuxedo: medium-dark skin tone	1f935-1f3fe-200d-2640-fe0f
🤵🏿‍♀️	woman in tuxedo: dark skin tone	1f935-1f3ff-200d-2640-fe0f
👰	person with veil	1f470
👰🏻	person with veil: light skin tone	1f470-1f3fb
👰🏼	person with veil: medium-light skin tone	1f470-1f3fc
👰🏽	person with veil: medium skin tone	1f470-1f3fd
👰🏾	person with veil: medium-dark skin tone	1f470-1f3fe
👰🏿	person with veil: dark skin tone	1f470-1f3ff
👰‍♂️	man with veil	1f470-200d-2642-fe0f
👰🏻‍♂️	man with veil: light skin tone	1f470-1f3fb-200d-2642-fe0f
👰🏼‍♂️	man with veil: medium-light skin tone	1f470-1f3fc-200d-2642-fe0f
👰🏽‍♂️	man with veil: medium skin tone	1f470-1f3fd-200d-2642-fe0f
